Datetime,Consumption
2025-11-02 12:55:00,10367.9
2025-11-02 13:00:00,10372.98
2025-11-02 13:05:00,10375.82
2025-11-02 13:10:00,10408.21
2025-11-02 13:15:00,10401.61
2025-11-02 13:20:00,10518.44
2025-11-02 13:25:00,10448.25
2025-11-02 13:30:00,10429.49
2025-11-02 13:35:00,10448.07
2025-11-02 13:40:00,10478.61
2025-11-02 13:45:00,10533.6
2025-11-02 13:50:00,10561.79
2025-11-02 13:55:00,10643.63
2025-11-02 14:00:00,10692.63
2025-11-02 14:05:00,10689.26
2025-11-02 14:10:00,10700.56
2025-11-02 14:15:00,10695.9
2025-11-02 14:20:00,10791.82
2025-11-02 14:25:00,10765.74
2025-11-02 14:30:00,10801.54
2025-11-02 14:35:00,10852.29
2025-11-02 14:40:00,10876.93
2025-11-02 14:45:00,10863.48
2025-11-02 14:50:00,10833.67
2025-11-02 14:55:00,10739.0
2025-11-02 15:00:00,10822.6
2025-11-02 15:05:00,10783.6
2025-11-02 15:10:00,10812.89
2025-11-02 15:15:00,10735.22
2025-11-02 15:20:00,10753.6
2025-11-02 15:25:00,10746.49
2025-11-02 15:30:00,10702.82
2025-11-02 15:35:00,10671.35
2025-11-02 15:40:00,10647.94
2025-11-02 15:45:00,10605.27
2025-11-02 15:50:00,10626.88
2025-11-02 15:55:00,10427.25
2025-11-02 16:00:00,10388.98
2025-11-02 16:05:00,10358.64
2025-11-02 16:10:00,10300.25
2025-11-02 16:15:00,10260.16
2025-11-02 16:20:00,10273.17
2025-11-02 16:25:00,10177.76
2025-11-02 16:30:00,10011.16
2025-11-02 16:35:00,10033.46
2025-11-02 16:40:00,10059.19
2025-11-02 16:45:00,10086.01
2025-11-02 16:50:00,10131.3
2025-11-02 16:55:00,10148.15
2025-11-02 17:00:00,10160.68
2025-11-02 17:05:00,9924.54
2025-11-02 17:10:00,10032.64
2025-11-02 17:15:00,10052.01
2025-11-02 17:20:00,10028.17
2025-11-02 17:25:00,10007.19
2025-11-02 17:30:00,10003.35
2025-11-02 17:35:00,9992.76
2025-11-02 17:40:00,10000.22
2025-11-02 17:45:00,9977.67
2025-11-02 17:50:00,9974.85
2025-11-02 17:55:00,9950.48
2025-11-02 18:00:00,9921.04
2025-11-02 18:05:00,9916.03
2025-11-02 18:10:00,9906.13
2025-11-02 18:15:00,9869.95
2025-11-02 18:20:00,9873.34
2025-11-02 18:25:00,9847.99
2025-11-02 18:30:00,9824.01
2025-11-02 18:35:00,9807.85
2025-11-02 18:40:00,9773.22
2025-11-02 18:45:00,9761.86
2025-11-02 18:50:00,9723.7
2025-11-02 18:55:00,9712.98
2025-11-02 19:00:00,9694.11
2025-11-02 19:05:00,9641.88
2025-11-02 19:10:00,9620.98
2025-11-02 19:15:00,9603.53
2025-11-02 19:20:00,9596.59
2025-11-02 19:25:00,9571.26
2025-11-02 19:30:00,9552.65
2025-11-02 19:35:00,9542.59
2025-11-02 19:40:00,9516.46
2025-11-02 19:45:00,9502.5
2025-11-02 19:50:00,9477.79
2025-11-02 19:55:00,9433.07
2025-11-02 20:00:00,9393.13
